graph,temporal_edges,batch_size,order,size,time,iterations,error,technique
"email-Eu-core-temporal","332335","10","559","1733","0.195","54","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","559","1733","0.095","26","0.0000047307","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","559","1733","0.094","26","0.0000047307","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","559","1733","0.094","26","0.0000047307","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","559","1733","0.095","26","0.0000047307","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","624","2762","0.254","51","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","624","2762","0.12","24","0.0000050416","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","624","2762","0.12","24","0.0000050416","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","624","2762","0.12","24","0.0000050416","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","624","2762","0.119","24","0.0000050416","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","653","3489","0.298","50","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","653","3489","0.102","17","0.0000063934","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","653","3489","0.101","17","0.0000063934","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","653","3489","0.1","17","0.0000063934","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","653","3489","0.101","17","0.0000063934","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","682","4129","0.327","50","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","682","4129","0.11","16","0.0000051804","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","682","4129","0.108","16","0.0000051804","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","682","4129","0.107","16","0.0000051804","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","682","4129","0.109","16","0.0000051804","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","696","4589","0.348","47","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","696","4589","0.129","17","0.0000056771","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","696","4589","0.131","17","0.0000056771","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","696","4589","0.129","17","0.0000056771","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","696","4589","0.13","17","0.0000056771","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","710","5130","0.288","37","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","710","5130","0.013","1","4.3603e-7","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","710","5130","0.014","1","4.3603e-7","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","710","5130","0.013","1","4.3603e-7","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","710","5130","0.013","1","4.3603e-7","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","722","5577","0.315","36","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","722","5577","0.014","1","5.734e-7","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","722","5577","0.014","1","5.734e-7","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","722","5577","0.015","1","5.734e-7","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","722","5577","0.014","1","5.734e-7","pagerankIncremental (scaled 1/N-fill)"
"email-Eu-core-temporal","332335","10","733","6067","0.332","36","0","pagerankStatic"
"email-Eu-core-temporal","332335","10","733","6067","0.152","16","0.0000045734","pagerankIncremental (zero-fill)"
"email-Eu-core-temporal","332335","10","733","6067","0.155","16","0.0000045734","pagerankIncremental (1/N-fill)"
"email-Eu-core-temporal","332335","10","733","6067","0.152","16","0.0000045734","pagerankIncremental (scaled zero-fill)"
"email-Eu-core-temporal","332335","10","733","6067","0.154","16","0.0000045734","pagerankIncremental (scaled 1/N-fill)"
